Name,Minimum Age,Maximum Age,Gender,Address,Region,Description,Application Requirements/Restrictions (if any),Website,Phone,Email,Valid As Of,Latitude,Longitude,Mental Health Services,Medical Health Services,Public Housing,Intimate Partner Violence,Developmental/Intellectual Disabilities Services,Child Welfare,Cash and Food Benefits,Shelter Assistance,Family Support Services,Adjudicated Adolescents,LGBTQ Resources,Mentoring,Case Management,Academic Support,Job Opportunities/Training,Community Service/Outreach,Substance Abuse Treatment Residential,Substance Abuse Treatment Outpatient,Legal Support
Boston Animal Care & Adoption Center,16,100,All,"10 Chandler Street, Boston, MA 02116",Suffolk,"The Animal Rescue League of Boston (ARL) is always seeking dedicated and compassionate individuals who are looking to match their skills and interests with their love of animals. 1. Fill out an application for the ARL location where you would like to volunteer. You must be at least 16 years of age to apply and have at least 6 months of volunteer service to give.
2. See if you’re a match. If your volunteer application is matched to a position, you will be contacted by an ARL staff member within 7 business days.  All other applications will be kept on file for one year. *Please note: ARL’s volunteer program is highly competitive and the submission of an application does not guarantee placement. 

3. Get on-boarded. Once you’ve been matched to a position confirmed by an ARL staff member, you will be notified about volunteer orientations and training that you will be required to attend.",,://www.arlboston.org/get-involved/volunteer/#volunteersteps,(617) 426-9170,adoption@arlboston.org,2018-03-29,42.346955,-71.070066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Boston Cares,13,100,All,"90 Canal St #610, Boston, MA 02114",Suffolk,"18 years and younger must fill-out and bring permission slip to the required volunteer orientation. Since 1991, Boston Cares has been Greater Boston's leader for flexible, team-oriented volunteering for individuals looking to get involved on their own time. We annually deploy 3000+ service teams led by a cadre of over 150 trained and deeply committed Volunteer Leaders through initiatives addressing some of the most pressing issues facing our communities.

Our signature Calendar Program engages individual volunteers to make an impact in the areas where they are most passionate. Each of our nearly 4,000 volunteers serves alongside at least 2 other Boston Cares members at over 200 monthly projects that equip adults to beat poverty, ensure young people succeed, and more. 

TeamWorks members volunteer together on a cycle of themed projects, through which they explore community issues and learn how to become more deeply involved.

Our new Corps initiative prepares volunteers to become more effective tutors for adult English for Speakers of Other Languages (ESOL) classes, adult basic technology training clinics, and school age students.

Our Youth and Family Program engages families and young people through age-friendly Calendar projects, seasonal learn & serve opportunities, national days of service, and a Teen Advisory Council and Junior Teen Advisory Council.

The Disaster Program engages volunteers in the basics of disaster preparedness, mitigation, response, and recovery through disaster-related training and opportunities.",,https://www.bostoncares.org/sign_up,(617) 422-0910,youth@bostoncares.org,2018-03-29,42.364008,-71.059945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hill House Community Center,15,100,All,"127 Mount Vernon Street Boston, MA 02108",Suffolk,"Hill House is a wonderful place to donate time and talent. We rely heavily on volunteers throughout the calendar year. Volunteered time allows our organization to provide quality athletic and developmental programming, community events and outreach to children and families residing in Boston's downtown neighborhoods. We look forward to working with you to determine a volunteer opportunity that fits your lifestyle.",,http://www.hillhouseboston.org/Get_Involved/Volunteer_Opportunities.htm,(617) 227-5838,,2018-03-29,42.357762,-71.07118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Boston Bikes,16,100,All,"1 City Hall Square
Boston, MA 02201",Suffolk,"We help plan and design streets for bicycling, manage the City's public bike share program, host fun rides and events, add bike parking, and teach Bostonians of all ages how to ride safely and responsibly in the City.  We help all Bostonians experience the joys of biking and support the growing community of cycling in Boston. ",,https://www.surveymonkey.com/r/NC8SJ2P?sm=VEN7fFtkaNWjBYbGwGwgnw%3d%3d,(617) 635-4680,btd@boston.gov,2018-03-29,42.3602,-71.057951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Allston-Brighton Food Pantry,12,100,All,"404 Washington Street
Brighton, MA 02135",Berkshire,"The Allston-Brighton Food Pantry provides nourishing food at no cost to members of the Allston-Brighton community. We’re dedicated to maintaining a welcoming atmosphere respectful to all community members without regard to race, religion, social position, ethnicity, gender, age or sexual orientation. 

On Wednesdays before the second and fourth Saturdays of the month starting at 4pm, volunteers are needed to help unload a shipment of food and stock our pantry. 

On Fridays before the second and fourth Saturdays of the month from 1pm to 4pm, Allston Brighton Food Pantry receives a delivery of fresh produce from Lovin’ Spoonfuls. We are always in need of volunteers to help make up 25 to 30 adult baskets and 8 kids baskets and prepare them for distribution. 

On the second and fourth Saturdays of the month from 9:45am to 1:45pm, Allston Brighton Food Pantry needs help distributing our food baskets to those in need in our community. Volunteer duties include greeting people, checking them in, helping to manage the flow of the distribution, and making additional baskets as needed.",,http://abfoodpantry.com/index.php/volunteer/,(617) 254-4046,info.abfoodpantry@gmail.com,2018-03-28,42.348757,-71.155203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ABCD- SummerWorks,14,21,All,"178 Tremont Street
Boston, MA 02111",Suffolk,"You’ll learn skills that will serve you now and throughout your life, including: resume writing; financial education; workplace etiquette; conflict resolution.

We’re as focused on your success as you are. That’s why you’ll also have a dedicated ABCD youth services specialist and a supervisor in your workplace.

Every year, ABCD SummerWorks provides hundreds of Boston youth with a summer job in a range of workplaces throughout the city. You might explore a career path at a hospital, health center, day camp, child care center, government agency—any number of options.",Boston Residents Only,https://bostonabcd.org/service/summerworks/,(617) 348-6548,worksinfo@bostonabcd.org,2018-03-26,42.352919,-71.064123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Artists for Humanity,14,17,All,"100 W 2nd St Boston MA, 02127",Suffolk,"Artists For Humanity’s (AFH) mission is to bridge economic, racial, and social divisions by providing under-resourced urban youth with the keys to self- sufficiency through paid employment in art and design. Our mission is built on twin philosophies: Engagement in the creative process is a powerful force
for social change, and creative entrepreneurship is a productive and life-changing opportunity for young people and their communities.

Artists For Humanity offers a wide range of fine art and design services for hire​. ​Teen artists collaborate with professional mentors across ​multi-media​ studios to create fine art and design solutions, offer curated exhibition services and ​tailor artful interactive experiences ​​for both the business community and individuals. CONTACT US to discuss your unique needs and read on to learn more about our amazing studios, our portfolio of experiences and our impact!",,https://afhboston.org/aboutus.html,(617) 268-7620,robgibbs@afhboston.org,2018-03-26,42.343033,-71.05363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ABCD-Career Exploration,16,24,All,"178 Tremont Street
Boston, MA 02111",Suffolk,"Career Explorations offers in school and out of school youth the opportunity to receive basic skills and advanced training in high-demand career fields including building trades, culinary arts, early child care, and health and biotechnology. Through the program youth meet professionals from an array of occupations within each pathway, participate in workshops and field trips throughout Boston to enhance their career development. The Career Exploration staff also provide individual job counseling and assistance with the job search and application process in order to help link youth to jobs that match their interests.

There are 4 main career paths youth can choose from: culinary arts, early childhood education, health careers, and criminal justice. Youth begin in the Fall with general job readiness training, move into career specific training in the winter months along with taking a college course, and then get paid internship placements in the spring and summer.

Duration: 2-3 days/week for training; internships 20 hours/week",Boston Residents & Out-Of-School or in HiSET program Only ,https://bostonabcd.org/service/career-explorations/,(617) 348-6548,lauren.mendoza@bostonabcd.org,2018-03-26,42.352919,-71.064123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Big Sister Association of Greater Boston,7,20,Female,"20 Park Plaza Boston, MA 02116",Suffolk,"Our mission is to ignite girls’ passion and power to succeed through positive mentoring relationships with women and enrichment programs that support girls’ healthy development. Ultimately, our vision is to create a mentor-rich community in which every girl has access to the individual nurturing, guidance, and support she needs to become a confident, competent and caring adult. We are a national model for gender-sensitive mentoring for girls which can be replicated in other mentoring programs.

Big Sister Boston is immersed in the diverse communities we serve through a variety of programming. From the traditional model of one-to-one mentoring relationships to enrichment programs focused on career awareness, safety, wellness, and healthy decision-making, we are meeting the unique social-emotional needs of girls.",,http://www.bigsister.org/about-us,(617) 236-8060,hziobro@bigsister.org,2018-03-26,42.351342,-71.068965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sidney Borum Jr. Health Center,12,29,All,"75 Kneeland Street Boston, MA 02111",Suffolk,"For young people ages who may not feel comfortable going anywhere else. No one is turned away – we’ll do whatever it takes to help you.

Services Offered at the Borum: Medical Care; Women’s Health; HIV Testing; Mental Health Health Insurance; HIV Care; Transgender Health; Birth Control + Emergency Contraception; STD Testing + Treatment",,http://sidneyborum.org/care/,(617) 457-8140,,2018-03-26,42.350095,-71.060678,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Area Health Education Center,14,18,All,"1010 Massachusetts Ave Boston, MA 02118",Suffolk,"In BAHEC after-school programming, youth are trained in introductory concepts around health insurance, health literacy, and health equity. Students also learn about health care through field specific courses including: Nursing; Dentistry; Medical Interpreting; Pharmacy; Physical Therapy; Careers Surrounding Disability Awareness.

In addition, BAHEC students have the opportunity to participate in a Youth Advisory Board (YAB), a public health leadership program where students design, implement, and evaluate a public health intervention.  BAHEC trains 40-60 youth from more than 20 partnering Boston public and charter schools in its after-school program annually. Most students have completed BAHEC's summer enrichment program prior to starting the after school program.

Through the years BAHEC students have been grown in their ability to address community issues in ways that best target their peers.  One way that they've done this has been through the use of various Public Service Announcements.  Thank you for taking the time to view these videos including the one below.",Boston Residents High School Age Only,http://www.bphc.org/whatwedo/Teens/boston-area-health-education-center/Pages/bahec.aspx,(617) 534-5395, bahec@bphc.org,2018-03-26,42.327996,-71.06724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Big Brothers Big Sisters of Massachusetts Bay,7,12,All,"75 Federal St. Boston, MA 02110",Suffolk,"We’re on a mission to help children in under-resourced families thrive by providing transformational, one-to-one relationships with caring adult mentors. With your support, these friendships will enrich the lives of over 2,400 kids in Massachusetts Bay communities this year.",,https://www.bbbsmb.org,(617) 542-9090,,2018-03-26,42.355004,-71.056747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RFK- Children of Alcoholism and Substance Abuse (COASA) ,11,,All,"11 Beacon Street
Boston, MA 02108",Suffolk,"Includes counseling & community outreach.

The Children Of Alcoholism And Substance Abuse (COASA) program supports children of alcoholism and substance abuse by advocating for them in community forums and developing appropriate supportive educational groups for them throughout Boston. COASA facilitates school and community-based prevention/intervention services, adapting them to the particular needs of the children served.

Research suggests that 15 percent of U.S. children are exposed to alcohol abuse and/or substance abuse in the family, and children who experience alcoholism and substance abuse in their lives often suffer from a wide variety of problems, including poor self-esteem and problems with relationships.

COASA works within Boston neighborhoods with existing drug coalitions and with the Massachusetts Organization for Addiction Recovery (MOAR). The program offers resources to the children regardless of whether the parents are in treatment. Specific services include: Individual, family and group counseling; Support groups; Advocacy in the community.

Children who receive services through COASA know they are not alone in their struggle to understand the impact of alcohol and substance abuse on their families.",,https://www.rfkchildren.org/our-work/community-based-services/children-of-alcoholism-and-substance-abuse-coasa/,(617) 272-5039,mmcglame@rfkchildren.org,2018-03-26,42.358491,-71.061755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ROCA- High Risk Young Men (Boston),17,24,Male,"845 Albany Street
Boston, MA 02119",Suffolk,"Education: HiSET/GED classes, taught in a flexible curriculum, in 1-on-1 sessions or in small groups. All classes are adapted to participants’ level and learning disabilities, including basic literacy classes if needed. ESL classes are offered.

Life Skills: Cognitive Behavioral Theory (CBT) curriculum in collaboration with Community Psychiatry PRIDE Clinic at Massachusetts General Hospital/Harvard Medical School. Our CBT curriculum addresses the specific needs of high-risk young adults, teaching them how to “think different to act different”. CBT allows our young people to develop emotional literacy and overcome behavioral barriers so they can build skills and live fuller lives. The curriculum consists of 10 skills, deliverable in classrooms, in the car, on the street, or wherever the need arises, through short sessions of up to 30-45 minutes. In addition to CBT, life skills programming includes substance abuse groups, healthy habits classes and parenting classes.

Employment: The key piece of Roca’s employment programming is a Transitional Employment Program, in which participants join Roca’s work crews and earn real wages while learning basic work skills. In addition, Roca offers workforce readiness curriculum, pre-vocational training and job placement and retention services. Most of Roca’s young people have no employment history and criminal records, factors which limit their employment opportunities considerably, so job readiness and placement are crucial to participant’s success.

Duration: 2 years.",,http://rocainc.org/work/young-men-program/,(617) 442-3101,boston@rocainc.com ,2018-03-26,42.33205,-71.076287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
RFK- Detention Diversion Advocacy Program (DDAP),11,,All,"11 Beacon Street
Boston, MA 02108",Suffolk,"Includes counseling; wrap around services; community outreach.

DDAP, a program of Robert F. Kennedy Children’s Action Corps, is a voluntary intervention alternative to court-ordered detention, providing young people with community-based support and supervision. DDAP strives to reduce the disproportionate number of minority youth arraigned through the court system, offering an opportunity to reverse their path to juvenile crime and helping them live to their fullest potential. We presently have programs in the Dorchester, Springfield and Holyoke juvenile courts.
Services include: Intervention: DDAP is a highly successful program that has been researched and replicated in multiple states with a proven track record of keeping youth in their community, in their school and out of detention, helping to maintain and create new positive peer connections; One-on-One Support: Youth Advocates provide intensive support to youth including: accompanying youth to scheduled court dates, school visits, employment assistance, and enrichment and recreational activities; Wrap Around Services: Family support groups and community connections ensure a strength-based plan is developed and implemented on an individual basis; Vibrant Locations: Community Centers offer an array of services in a supporting environment for youth participants including technical, arts and sports programming.
Community Connections; DDAP provides a bridge to resources such as health care, education, counseling, drug treatment, employment opportunities, and recreational activities; Partnerships with local youth agencies for additional support for youth to learn how to use community resources and connect with others who can help them make positive choices about their own futures; Tutoring partnership with Curry College provides mentoring relationships as well as educational assistance (similar model will be developed with Holyoke and Springfield area colleges); Community Service projects engage youth in positive and meaningful ways with their peer groups and community members.

Duration: 90-120 days",Juvenile Court Involved Only,https://www.rfkchildren.org/our-work/community-based-services/detention-diversion-advocacy-project-ddap/,(617) 529-2858,tconti@rfkchildren.org,2018-03-26,42.358491,-71.061755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Boston Centers for Youth and Families- Youth Advisory Committee,14,17,All,"1 City Hall Square
Boston, MA 02201",Suffolk,"Committee Efforts Include:
volunteering at City events, such as the Elderly Commission’s New Year’s event and the BCYF Citywide Swim Championship
attending a service day at the American Red Cross Food Pantry
attending a service leadership trip, and
providing a youth voice for projects at many organizations. Groups have included Urban Edge, The Mobility Project, and the Mass. Department of Mental Health.",,https://www.boston.gov/departments/boston-centers-youth-families/bcyf-youth-advisory-committee,(617) 635-4920,joan.lanigan@boston.gov,2018-03-26,42.3602,-71.057951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Youth Development- Inquilinos Boricuas En Accion,13,19,All,"405 Shawmut Ave. Boston, MA 02118",Suffolk,"IBA’s Youth Development Program fosters socio-emotional, intellectual and artistic growth in young people between 13 and 19 years old, while helping them develop 21st century skills to be successful in life. In fact, the program was nationally recognized in 2016 by former First Lady Michelle Obama with a National Arts and Humanities Youth Program Award.

The program provides academic support, job readiness, arts education, leadership training, civic engagement and advocacy opportunities. In a safe space, youth are encouraged to make decisions, plan and develop programs and events, facilitate discussions, and create art portfolios. Our young people are resilient and we build off their strengths to support them in improving their grades, complete high school and proceed to post-secondary education through IBA’s partnership with Bunker Hill Community College.

Our program employs youth as peer leaders. We hire 20 youth as peer leaders during the school year and 25 during the summer.

School Year: October to May (28 weeks), Monday through Friday.

Daily Workshops: Our art workshops range from poetry and spoken word, photography and videography, to visual arts and movement. They are custom made to fit the needs and interests of our youth. We also offer Life Skills workshops, academic support, and community service opportunities. All of our programming has a strong social justice and civic engagement component, and our young people are actively involved in organizing, advocating, and using the arts as a means to spread the word about issues that affect them and our community.",,http://www.ibaboston.org/youth-development/,(617) 927-1707,info@ibaboston.org,2018-03-26,42.340621,-71.073524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Inner City Weight Lifting,15,24,All,Contact program for address.,,"Our brains are wired to make assumptions that help us navigate a complex and, at times, dangerous world. For instance, if we see a group of young people who look different, dress different, have years of trauma expressed in their eyes, standing in a “rough” area of the city, most people will cross the street to avoid. Our instincts are clear to this point: there’s a threat to our safety. But what if our instincts are wrong, what if these young people aren’t the problem? What if they are the solution? This is what we see time and time again in our gyms. Young people who have been labeled “high impact” gang members, becoming driven to lead their lives, and the lives of their friends and family in a positive direction. It starts with trust, with hope, and turns into inclusion and economic mobility.

Once we’ve established hope, our goal is to turn belief into action by providing as many positive solutions as possible – one of those being our best in class in-house career track in personal training. Students are able to learn from some of the top training coaches in the country, mastering a highly marketable skill-set. 

Through training our students gain economic mobility, as they start training clients and earning $20 - $60/hr. Perhaps more importantly, they benefit from social inclusion as the worlds of our students, staff, clients, and corporate partners merge together creating new networks and access to new opportunities.

Finally, in the last stage of our model, students are empowered with control over their future. They choose which path they move along. As communities and networks become inclusive, as people gain an understanding for each other, the factors that led to segregated pockets of violence begin to fade, changing the course for our students, and for future generations. 

Our personal training clients are a critical piece of this network. As more individuals from opposite socio-economic backgrounds visit our gym and pay, a wide-scale systemic change begins. Clients see our students for who they are, not the false labels society has placed upon them. Our students are able to see the world and be seen by it in a whole new way.",,https://www.innercityweightlifting.org,,,2018-03-26,42.321824,-71.088404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Future Protectors Initiative,16,21,All,"178 Tremont Street
Boston, MA 02111",Suffolk,"You’ve faced serious challenges in life, and you want to move forward. Find a career that’s in sync with your interests and allows you to give back to the community.

Through the Future Protectors Initiative, ABCD and key partners offer a paid part time position during the summer and the school year. You can earn high school and college credit through dual enrollment; earn First AID/CPR and OSHA 10 certification; partner with a mentor in your desired field, and gain access to other ABCD programs and services.
",Boston Residents & High School Junior or Senior Only,http://bostonabcd.org/future-protectors-initiative.aspx,(617) 348-6548,lauren.mendoza@bostonabcd.org,2018-03-26,42.352919,-71.064123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NECAT- Culinary Arts Job Training,17,100,All," 23 Bradston Street Boston, MA 02118",Suffolk,"Hands-on culinary arts instruction. The curriculum includes: introduction to the culinary industry, food safety and sanitation, knife skills and advanced cooking and baking techniques. Students graduate with a Culinary Arts Certificate.
Access to paid and volunteer work opportunities to help students develop their resumes and gain experience in the field.
Industry-relevant professional and life skills training, including resume writing and interviewing, time management, conflict resolution, etc. Staff also provide coaching and counseling to help students overcome personal challenges that have held them back from securing stable employment in the past.
Job search services and support to help students secure jobs that are a strong fit with their skills levels, career interests, and scheduling and transportation needs. We provide career services with the support of our valued Employer Partners – please contact us if you’re interested in hiring our highly-trained, hard-working graduates.

Duration: 16-week program, Monday-Friday, 9 am – 3 pm",High School or Equivalent Degree,http://ne-cat.org/culinary-arts-job-training/,(617) 442-3600,info@ne-cat.org,2018-03-26,42.333169,-71.070553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Youth Connect- Boys and Girls Club,0,24,All,"200 High Street Boston, MA 02110 ",Suffolk,"1. Intake/Assessment:
Upon outreach, every youth and family is offered voluntary, confidential clinical services. An assessment is completed to determine the family and individuals strengths, needs, and stressors to help determine the appropriate level of service provision. Families are asked what they would like assistance with to improve the current family situation. A determination of which service providers are already involved with the youth and family is made with the goal that any YouthConnect intervention will strengthen these relationships.

2. Resource Coordination:
Upon outreach, every youth and family is offered voluntary, confidential clinical services. An assessment is completed to determine the family and individuals strengths, needs, and stressors to help determine the appropriate level of service provision. Families are asked what they would like assistance with to improve the current family situation. A determination of which service providers are already involved with the youth and family is made with the goal that any YouthConnect intervention will strengthen these relationships.

3. Clinical Case Management:
Youth and their families are seen weekly with the focus on parent guidance and support counseling. Clients may have pre-existing relationships with major service providers like DYS, DCF, and school-based services. YouthConnect social workers help facilitate case conferences to have providers and systems come together to identify roles and coordinate culturally appropriate care given the needs of the family. This level of services is open-ended with an eye towards creating a safety net of services for the youth and family.

4. Therapy Services:
Youth and their families are seen weekly in therapy for issues related to truancy, delinquency, safety issues, substance use, victimization due to community violence, school performance and family functioning. Youth are generally seen individually, and family meetings are monthly. YouthConnect provides home visits and community based visits, in addition to flexible scheduling, enabling high-risk youth and their families access to social service.

From Ms. Perry:
Our program is not a location-based program, nor does it have a specific time component to it.  We are MSW-level clinical social workers that offer a variety of clinical services and supports to high-risk and proven risk youth and families.  Services are determined after we complete a comprehensive psychosocial assessment with the family to determine their strengths, needs and goals.  From there a customized treatment plan is put in place.  Services could be simply a connection to existing community-based resources; it could be ongoing clinical case management and advocacy, or it could be providing individual therapy.

We are funded to work with young people referred through the Boston Police Department.  Any time a non-BPD provider is hoping to make a referral to YouthConnect, the request must be made to YouthConnect’s Clinical Director, Denise Kasrawi who will then determine if the referral is clinical appropriate for our services and if we have the capacity to properly serve the young person.",,https://www.bgcb.org/what-we-do/youthconnect/,(617) 427-1068,aperry@bgcb.org,2018-03-26,42.356957,-71.051913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
More Than Words (Boston),16,24,All,"242 East Berkeley Street Boston, MA 02118",Suffolk,"Gaining Professional Skills: Work 20+ hours/week; Manage an online & retail bookstore in Boston and a bookstore/café in Waltham; Train in all aspects of business; Facilitate peer-led trainings and team meetings; Plan and host store events; Track performance and earn promotions.

Successfully Navigating Life: Learn essential life skills (e.g., opening a bank account, finding housing, getting an ID); Participate in workshops, mock interviews, resume building; Craft individualized action plans; Be accountable for their progress; Commit to getting GED or diploma; Receive assistance to pursue higher education.

Ongoing Support: Additional training and case management support with education and employment goals; Graduate and Alumni networking opportunities; Semiannual data collection to ensure youth are on track for positive outcomes.",Duration: 6-12 Months; 20+ hours/week,https://www.mtwyouth.org/about_us/impact/,(781) 788-0035,info@mtwyouth.org,2018-03-26,42.343403,-71.063607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Youth Build- The Designery,14,18,All,"1844 Washington Street Boston, MA 02118	",Berkshire,"Students are paid a bi-weekly stipend while they hone fundamental graphic, modeling, and design-thinking skills through real design projects for non-profit clients around the city. Outstanding and mature students participate for several semesters, and receive internship opportunities with professional design firms in the Boston area. The Designery program offers pro-bono student design services, as well as subsidized professional design services for other non-profits.   First time students make $80/week over 10 weeks.  Returning students are paid the same rate, but are eligible for a session end bonus of up to $280, that is prorated based on their attendance rate.  i.e. a returning student who was present 80% of the time, is eligible for 80% of the $280 bonus.  All students in the summer session will be paid $11/hour, 6hr/day, over 7 weeks.  

Duration: 7-10 weeks Feb -April (spring) fall-Dec (fall); after school 3:30-6:30pm; Summer Session: 10:30am to 4:30pm-Monday to Thursday during the summer, over 7 weeks.",,//www.youthbuildboston.org/new-programs/,(617) 445-8887,aho@ybboston.org,2018-03-26,42.335101,-71.077956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bridge Over Troubled Water,14,24,All,"47 West Street Boston, MA 02111",Suffolk,"Includes shelter; counseling; transitional living/programing; alternative education. 

Bridge’s licensed clinical counselors are trained and experienced in working specifically with homeless youth and utilize a variety of counseling methods tailored to each youth including trauma informed and positive youth development approaches. Counselors “meet youth where they are at” during their initial intake and set up appointments for follow up counseling sessions or provide referrals to Bridge’s in-house services or to outside agencies.

Bridge’s drop-in center where homeless youth receive survival aid each day during the week. Youth can have a hot meal, take a shower, access lockers, and do their laundry; and connect with TDP case managers to obtain documentation papers (identification cards, transcripts, CORI records, etc.), participate in life skills workshops, and enjoy 
community dinners.

Education and Career development program encompasses a three-tier approach to academic and career success. (1) Classes to prepare youth to earn their alternative high-school degree are provided on a flexible schedule with small class sizes, and rolling admission that enables youth to enroll at any time. Morning and afternoon classes accommodate students who work. Many youth enter the program after being out of school for several years. (2) College Pathways provides guidance counseling to youth who wish to enter or continue college and may include financial aid incentives to help youth enter and stay in college or job training programs. (3) Career Development offers Open Job Search hours and job training in soft skills.

Bridge’s long-term transitional residential program is for up to 12 young men and women, ages 18-24, at any given time. Residents are required to maintain employment, continue their education, meet weekly with a Bridge counselor, and work with case managers on reaching their goals. Residents have access to all of the services at Bridge; and may stay in the TLP for up to two years.

Successful Transitions to Adulthood Research Study (STARS):  A study funded by the federal government is being done to determine how the Bridge Over Troubled Waters TLP helps youth attain housing, education, and employment, and live independently. There will be more applicants than spaces available in this program. Youth who are eligible for the program and agree to participate in the study will be selected into the program based on a lottery, so some youth will get into the program and some will not.",,https://www.bridgeotw.org/programs,(617) 423-9575,bridge@bridgeotw.org,2018-03-26,42.355143,-71.063001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Youth Engagement and Employment- Mayors Youth Council,14,18,All,"1 City Hall Square
Boston, MA 02201",Suffolk,"YEE works with a network of community organizations and businesses to provide valuable opportunities for Boston’s teens. In our work, we: place teens in summer and school-year jobs; provide guidance and mentorship; and ensures Boston's youth have the skills and professionalism needed to succeed.

Duration: Year-round commitment; members devote eight to 13 hours a month.",Boston Residents High School Age Only,https://www.boston.gov/departments/boston-centers-youth-families/mayors-youth-council,(617) 635-4202,YOUTHLINE@BOSTON.GOV,2018-03-26,42.3602,-71.057951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SuccessLink- Summer Job Program,15,18,All,"1483 Tremont St. Boston, MA 02120",Suffolk,"The City of Boston has partnered with hundreds of community-based and nonprofit groups across the City. We’re giving meaningful jobs to thousands of Boston teens ages 15 - 18. To sign up, first read about the process and requirements below. Then, create a SuccessLink profile and register to enter the summer jobs lottery.

Participants can work in many different positions, including: camp counselors; administrative assistants; mural painters, and
peer leaders. Duration: July-August",Boston Residents Only; chosen by lottery,https://www.boston.gov/health-and-human-services/successlink-summer-jobs-program,(617) 635-4202,,2018-03-26,42.332591,-71.097967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
